,Index,train_loss,vali_loss,test_loss
0,1,0.41676149958045444,0.17453216,0.057928953
1,2,0.18805091851441535,0.110064775,0.037324682
2,3,0.16799505939686904,0.095665194,0.036095493
3,4,0.15292104954736915,0.102304175,0.0353499
4,5,0.15537025330636023,0.09662632,0.03471617
5,6,0.15370149408451314,0.09550544,0.034883093
6,7,0.14210193543222974,0.090753235,0.034566063
7,8,0.15044076479533902,0.08817333,0.034464546
8,9,0.14827600356293483,0.09958036,0.03459286
9,10,0.16329626680204742,0.09508485,0.034196608
